,RCP0,RCP4.5,RCP8.5,RCP4.5 Defence,RCP8.5 Defence,RCP4.5 Bonds,RCP4.5 Rates,RCP8.5 Bonds,RCP8.5 Rates,sum,rank
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2020.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
2020.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,17.0
2021.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,16.0
2021.5,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,27.0
2021.75,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,24.0
2022,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,42.0
2022.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2022.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2022.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2023.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2023.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2023.75,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,23.0
2024,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,8.0,41.0
2024.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,19.0
2024.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,20.0
2024.75,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,16.0,56.0
2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,8.0,40.0
2025.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
2025.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,18.0
2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,13.0
2026.25,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,9.0,44.0
2026.5,1.0,1.0,2.0,1.0,2.0,0.0,1.0,3.0,2.0,13.0,50.0
2026.75,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,7.0,30.0
2027,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,8.0,39.0
2027.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
2027.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,8.0,37.0
2027.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,8.0,38.0
2028,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,3.0,14.0,52.0
2028.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,9.0,45.0
2028.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0
2028.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0
2029,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,21.0
2029.25,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,22.0
2029.5,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,8.0,36.0
2029.75,2.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,11.0,46.0
2030,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,26.0
2030.25,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,25.0
2030.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,7.0,31.0
2030.75,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,7.0,29.0
2031,3.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,11.0,47.0
2031.25,0.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,12.0,49.0
2031.5,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0,9.0,43.0
2031.75,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,7.0,28.0
2032,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,7.0,32.0
2032.25,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,8.0,33.0
2032.5,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,8.0,34.0
2032.75,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,8.0,35.0
2033,0.0,3.0,3.0,3.0,6.0,5.0,4.0,5.0,3.0,32.0,72.0
2033.25,0.0,3.0,3.0,4.0,6.0,5.0,4.0,5.0,3.0,33.0,74.0
2033.5,0.0,4.0,3.0,1.0,6.0,5.0,4.0,5.0,3.0,31.0,70.0
2033.75,0.0,1.0,5.0,1.0,3.0,5.0,4.0,5.0,3.0,27.0,63.0
2034,0.0,3.0,7.0,0.0,5.0,7.0,6.0,7.0,5.0,40.0,82.0
2034.25,0.0,3.0,8.0,0.0,5.0,7.0,3.0,7.0,5.0,38.0,79.0
2034.5,0.0,3.0,10.0,0.0,7.0,7.0,2.0,9.0,7.0,45.0,94.0
2034.75,0.0,0.0,10.0,0.0,7.0,6.0,0.0,8.0,5.0,36.0,75.0
2035,0.0,0.0,5.0,0.0,5.0,6.0,0.0,6.0,5.0,27.0,62.0
2035.25,0.0,0.0,5.0,0.0,2.0,3.0,0.0,3.0,5.0,18.0,58.0
2035.5,0.0,0.0,2.0,0.0,2.0,3.0,0.0,3.0,2.0,12.0,48.0
2035.75,0.0,0.0,2.0,0.0,2.0,4.0,0.0,4.0,2.0,14.0,54.0
2036,0.0,0.0,2.0,0.0,2.0,4.0,0.0,4.0,2.0,14.0,51.0
2036.25,0.0,0.0,2.0,0.0,2.0,4.0,0.0,4.0,2.0,14.0,53.0
2036.5,0.0,0.0,2.0,0.0,2.0,4.0,0.0,6.0,2.0,16.0,55.0
2036.75,0.0,0.0,3.0,0.0,3.0,4.0,0.0,6.0,2.0,18.0,57.0
2037,0.0,0.0,3.0,2.0,3.0,5.0,0.0,6.0,3.0,22.0,59.0
2037.25,0.0,1.0,4.0,3.0,4.0,7.0,1.0,7.0,4.0,31.0,71.0
2037.5,0.0,2.0,4.0,4.0,4.0,7.0,2.0,7.0,6.0,36.0,77.0
2037.75,0.0,3.0,4.0,3.0,4.0,6.0,2.0,8.0,6.0,36.0,76.0
2038,0.0,3.0,4.0,3.0,6.0,7.0,1.0,8.0,5.0,37.0,78.0
2038.25,0.0,2.0,3.0,2.0,5.0,6.0,0.0,6.0,4.0,28.0,67.0
2038.5,0.0,2.0,4.0,2.0,4.0,6.0,0.0,7.0,4.0,29.0,69.0
2038.75,0.0,2.0,4.0,2.0,4.0,6.0,0.0,7.0,4.0,29.0,68.0
2039,0.0,2.0,4.0,2.0,4.0,6.0,3.0,7.0,4.0,32.0,73.0
2039.25,0.0,2.0,4.0,2.0,4.0,5.0,2.0,5.0,4.0,28.0,66.0
2039.5,0.0,2.0,4.0,2.0,4.0,5.0,2.0,5.0,4.0,28.0,65.0
2039.75,0.0,2.0,4.0,2.0,4.0,5.0,2.0,5.0,4.0,28.0,64.0
2040,0.0,2.0,3.0,2.0,4.0,5.0,2.0,5.0,4.0,27.0,60.0
2040.25,0.0,2.0,3.0,2.0,4.0,5.0,2.0,5.0,4.0,27.0,61.0
2040.5,0.0,4.0,5.0,4.0,6.0,7.0,4.0,7.0,6.0,43.0,89.0
2040.75,0.0,4.0,8.0,4.0,6.0,7.0,4.0,7.0,6.0,46.0,96.0
2041,0.0,4.0,8.0,4.0,6.0,7.0,4.0,7.0,4.0,44.0,91.0
2041.25,0.0,2.0,8.0,4.0,6.0,7.0,2.0,7.0,4.0,40.0,83.0
2041.5,0.0,2.0,11.0,2.0,9.0,5.0,2.0,7.0,4.0,42.0,87.0
2041.75,0.0,2.0,11.0,2.0,9.0,5.0,2.0,7.0,4.0,42.0,88.0
2042,0.0,2.0,11.0,2.0,9.0,5.0,2.0,5.0,5.0,41.0,86.0
2042.25,0.0,2.0,11.0,2.0,9.0,5.0,2.0,5.0,5.0,41.0,85.0
2042.5,0.0,2.0,11.0,2.0,7.0,5.0,2.0,5.0,5.0,39.0,81.0
2042.75,0.0,3.0,10.0,3.0,10.0,6.0,3.0,6.0,6.0,47.0,98.0
2043,0.0,3.0,10.0,3.0,10.0,6.0,3.0,5.0,5.0,45.0,93.0
2043.25,0.0,3.0,9.0,3.0,10.0,6.0,2.0,5.0,5.0,43.0,90.0
2043.5,0.0,3.0,9.0,3.0,10.0,4.0,2.0,5.0,2.0,38.0,80.0
2043.75,0.0,2.0,12.0,2.0,10.0,6.0,2.0,5.0,2.0,41.0,84.0
2044,0.0,4.0,12.0,2.0,10.0,6.0,2.0,7.0,1.0,44.0,92.0
2044.25,0.0,4.0,12.0,2.0,11.0,6.0,2.0,7.0,1.0,45.0,95.0
2044.5,0.0,4.0,12.0,2.0,11.0,7.0,2.0,7.0,1.0,46.0,97.0
2044.75,0.0,7.0,12.0,5.0,11.0,7.0,2.0,7.0,4.0,55.0,100.0
2045,0.0,7.0,11.0,5.0,10.0,7.0,2.0,7.0,4.0,53.0,99.0
2045.25,0.0,8.0,11.0,6.0,10.0,8.0,2.0,7.0,4.0,56.0,102.0
2045.5,0.0,8.0,11.0,6.0,12.0,8.0,4.0,7.0,4.0,60.0,106.0
2045.75,0.0,8.0,11.0,6.0,14.0,8.0,4.0,7.0,4.0,62.0,111.0
2046,0.0,8.0,11.0,6.0,14.0,8.0,4.0,8.0,4.0,63.0,113.0
2046.25,0.0,10.0,12.0,8.0,16.0,10.0,6.0,9.0,6.0,77.0,120.0
2046.5,0.0,9.0,12.0,7.0,15.0,9.0,5.0,8.0,3.0,68.0,119.0
2046.75,1.0,9.0,13.0,7.0,15.0,9.0,0.0,8.0,3.0,65.0,115.0
2047,1.0,9.0,12.0,7.0,15.0,9.0,0.0,7.0,4.0,64.0,114.0
2047.25,1.0,9.0,13.0,7.0,15.0,9.0,0.0,7.0,4.0,65.0,117.0
2047.5,1.0,8.0,14.0,8.0,16.0,10.0,1.0,8.0,0.0,66.0,118.0
2047.75,1.0,9.0,13.0,8.0,16.0,9.0,1.0,8.0,0.0,65.0,116.0
2048,1.0,9.0,13.0,8.0,16.0,9.0,1.0,6.0,0.0,63.0,112.0
2048.25,1.0,9.0,13.0,8.0,16.0,8.0,1.0,6.0,0.0,62.0,107.0
2048.5,1.0,8.0,13.0,9.0,16.0,8.0,1.0,6.0,0.0,62.0,108.0
2048.75,1.0,8.0,13.0,8.0,17.0,8.0,2.0,5.0,0.0,62.0,109.0
2049,1.0,8.0,13.0,8.0,17.0,8.0,2.0,5.0,0.0,62.0,110.0
2049.25,0.0,7.0,12.0,7.0,16.0,7.0,1.0,4.0,3.0,57.0,103.0
2049.5,0.0,7.0,13.0,4.0,16.0,7.0,1.0,4.0,3.0,55.0,101.0
2049.75,0.0,9.0,13.0,4.0,16.0,8.0,1.0,8.0,1.0,60.0,105.0
2050,0.0,6.0,12.0,4.0,17.0,8.0,1.0,8.0,1.0,57.0,104.0
sum,34.0,298.0,586.0,255.0,641.0,472.0,160.0,460.0,272.0,0.0,0.0
rank,0.0,4.0,7.0,2.0,8.0,6.0,1.0,5.0,3.0,0.0,0.0
